url_product,product_internal_id,product_code,product_name,product_brand,product_category,variant,price,cav_points,description,member_price,normal_price,stock,image_url,vinyard,strain,harvest,origin,line,format,type,alcohol_degrees,blend,guard,pairing,Frescor,Cuerpo,Dulzura,Astringencia
https://cav.cl//tienda/producto/caliterra-tributo-single-vineyard-sauvignon-blanc-2020-28377,12457,28377,Caliterra Tributo Single Vineyard Sauvignon Blanc 2020,Caliterra,Blanco,Sauvignon Blanc,9290,91,"Amarillo plata. Nariz perfumada, pepino, peras blancas, un tono a ají. En la boca es jugoso, cítrico, lineal, de cuerpo medio.",Socio: $8.361,Normal: $9.290,Stock: 25,https://cav.cl/storage/sku_images/28377.jpg,,,,,,,,,,,,0.8,0.6,0.6,0.4
https://cav.cl//tienda/producto/caliterra-tributo-single-vineyard-cabernet-sauvignon-2019-26887,11258,26887,Caliterra Tributo Single Vineyard Cabernet Sauvignon 2019,Caliterra,Tinto,Cabernet Sauvignon,9290,93,"Rojo cereza brillante, intenso. Aromas de frutos negros, berries maduros, fondo de hierbas aromáticas y especias tostadas. Boca jugosa, tersa, fresca, de rica textura y persistencia.",Socio: $8.361,Normal: $9.290,Stock: 50+,https://cav.cl/storage/sku_images/26887.jpg,,,,,,,,,,,,0.8,0.6,0.6,0.6
https://cav.cl//tienda/producto/caliterra-tributo-single-vineyard-c-sauvignon-2018-26732,11149,26732,Caliterra Tributo Single Vineyard C. Sauvignon 2018,Caliterra,Tinto,Cabernet Sauvignon,9290,90,"Rojo cereza teja. Nariz madura, chocolate amargo, clavo de olor, especiado. En la boca es jugoso, lineal, agradable.",Socio: $8.361,Normal: $9.290,Stock: 50+,https://cav.cl/storage/sku_images/26732.jpg,,,,,,,,,,,,0.4,0.8,0.8,0.6
https://cav.cl//tienda/producto/concha-y-toro-casillero-del-diablo-reserva-privada-cabernet-sauvignon-2021-31528,14313,31528,Concha y Toro Casillero Del Diablo Reserva Privada Cabernet Sauvignon 2021,Concha Y Toro,Tinto,Cabernet Sauvignon,9490,No score available,"Rojo cereza profundo. Nariz intensa, madura, negra. Notas a chocolate. Higos secos, casis. Alta intensidad aromática. En la boca es sabroso, largo, de rica intensidad.",Socio: $8.541,Normal: $9.490,Stock: 18,https://cav.cl/storage/sku_images/31528.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/concha-y-toro-casillero-del-diablo-reserva-privada-carmenere-2021-30997,14047,30997,Concha y Toro Casillero Del Diablo Reserva Privada Carmenere 2021,Concha Y Toro,Tinto,Carmenere,9490,No score available,"Rojo violeta. Nariz dulce, frambuesa, hojas de laurel, chocolate, betarraga. En la boca es frutal, maduro, de tanino medio. Sabroso.",Socio: $8.541,Normal: $9.490,Stock: 14,https://cav.cl/storage/sku_images/30997.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/concha-y-toro-casillero-del-diablo-reserva-privada-cabernet-sauvignon-2020-30692,13842,30692,Concha y Toro Casillero Del Diablo Reserva Privada Cabernet Sauvignon 2020,Concha Y Toro,Tinto,Cabernet Sauvignon,9490,No score available,"Rojo cereza profundo. Nariz intensa, madura, negra. Notas a chocolate. Higos secos, casis. Alta intensidad aromática. En la boca es sabroso, largo, de rica intensidad.",Socio: $8.541,Normal: $9.490,Stock: 0,https://cav.cl/storage/sku_images/30692.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/viu-manent-chardonnay-gran-reserva-2021-30371,13669,30371,Viu Manent Chardonnay Gran Reserva 2021,Viu Manent,Blanco,Chardonnay,9490,No score available,"Rojo violeta con ribetes púrpuras. Aroma floral y frutal, violetas, guinda, mora, notas a tabaco, cuero. En boca es de acidez media, tanino frutal y sedoso.",Socio: $8.541,Normal: $9.490,Stock: 40,https://cav.cl/storage/sku_images/30371.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/korta-barrel-selection-cabernet-sauvignon-2020-30311,13623,30311,Korta Barrel Selection Cabernet Sauvignon 2020,Korta,Tinto,Cabernet Sauvignon,9500,No score available,,Socio: $8.550,Normal: $9.500,Stock: 38,https://cav.cl/storage/sku_images/30311.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/korta-barrel-selection-petit-verdot-2020-30073,13450,30073,Korta Barrel Selection Petit Verdot 2020,Korta,Tinto,Petit Verdot,9500,No score available,,Socio: $8.550,Normal: $9.500,Stock: 18,https://cav.cl/storage/sku_images/30073.jpg,,,,,,,,,,,,,,,
https://cav.cl//tienda/producto/dona-dominga-cabernet-sauvignon-gran-reserva-2021-31551,14319,31551,Doña Dominga Cabernet Sauvignon Gran Reserva 2021,Casa Silva,Tinto,Cabernet Sauvignon,9590,No score available,,Socio: $8.631,Normal: $9.590,Stock: 50+,https://cav.cl/storage/sku_images/31551.jpg,,,,,,,,,,,,,,,
