brand;gender;age;ses;rank
Caliterra;HOMBRE;25-34;ABC1;78
Caliterra;HOMBRE;25-34;C3;79
Caliterra;MUJER;18-24;C2;80
Caliterra;HOMBRE;45-54;D/E;82
Caliterra;MUJER;18-24;C3;87
Caliterra;MUJER;35-44;C3;90
Caliterra;MUJER;45-54;C3;122
Caliterra;HOMBRE;25-34;D/E;129
Carmen;OTRO;25-34;ABC1;3
Carmen;HOMBRE;55+;ABC1;4
Carmen;MUJER;13-17;C3;5
Carmen;MUJER;13-17;ABC1;5
Carmen;MUJER;55+;C3;6
Carmen;HOMBRE;45-54;C3;6
Carmen;OTRO;35-44;D/E;6
Carmen;HOMBRE;13-17;ABC1;6
Carmen;HOMBRE;18-24;C2;7
Carmen;HOMBRE;35-44;C3;8
Carmen;MUJER;25-34;ABC1;8
Carmen;HOMBRE;45-54;C2;9
Carmen;HOMBRE;45-54;ABC1;9
Carmen;MUJER;45-54;ABC1;9
Carmen;HOMBRE;55+;C2;11
Carmen;MUJER;13-17;C2;11
Carmen;MUJER;35-44;C2;11
Carmen;MUJER;55+;ABC1;11
Carmen;MUJER;18-24;ABC1;11
Carmen;HOMBRE;18-24;ABC1;11
Carmen;HOMBRE;35-44;ABC1;11
Carmen;MUJER;35-44;ABC1;11
Carmen;MUJER;55+;C2;12
Carmen;OTRO;18-24;C3;12
Carmen;MUJER;35-44;C3;12
Carmen;MUJER;35-44;D/E;12
Carmen;OTRO;18-24;C2;13
Carmen;MUJER;18-24;C2;13
Carmen;HOMBRE;25-34;C2;13
Carmen;MUJER;45-54;C2;13
Carmen;MUJER;25-34;C3;13
Carmen;MUJER;45-54;C3;13
Carmen;MUJER;55+;D/E;13
Carmen;MUJER;18-24;D/E;13
Carmen;OTRO;18-24;D/E;13
Carmen;HOMBRE;25-34;D/E;13
Carmen;MUJER;45-54;D/E;13
Carmen;MUJER;13-17;D/E;14
Carmen;HOMBRE;35-44;C2;15
Carmen;MUJER;25-34;D/E;15
Carmen;MUJER;25-34;C2;16
