,productos,url_imagen
56,Septima Obra Malbec 2017,https://cav.cl/storage/sku_images/27628.jpg
57,Bodega Septima Malbec Gran Reserva 2019,https://cav.cl/storage/sku_images/29529.jpg
58,Botijo Rojo Garnacha 2020,https://cav.cl/storage/sku_images/30860.jpg
59,Botijo Blanco Garnacha Blanca 2019,https://cav.cl/storage/sku_images/28702.jpg
60,Salentein Malbec Reserve 2022,https://cav.cl/storage/sku_images/31477.jpg
61,Descomplicados Etiqueta Negra Syrah 2019,https://cav.cl/storage/sku_images/28618.jpg
62,Caiti Lux Series Sauvignon Blanc 2020,https://cav.cl/storage/sku_images/27593.jpg
63,Caliterra Cabernet Sauvignon Reserva 2020,https://cav.cl/storage/sku_images/28380.jpg
64,Caliterra Cabernet Sauvignon Reserva 2021,https://cav.cl/storage/sku_images/30863.jpg
65,Caliterra Tributo Single Vineyard Cabernet Sauvignon 2019,https://cav.cl/storage/sku_images/26887.jpg
66,Caliterra Tributo Single Vineyard C. Sauvignon 2018,https://cav.cl/storage/sku_images/26732.jpg
67,Caliterra Carmenere Reserva 2021,https://cav.cl/storage/sku_images/30026.jpg
68,Caliterra Tributo Single Vineyard Chardonnay 2021,https://cav.cl/storage/sku_images/29963.jpg
69,Caliterra Tributo Single Vineyard Malbec 2021,https://cav.cl/storage/sku_images/31359.jpg
70,Caliterra Merlot Reserva 2022,https://cav.cl/storage/sku_images/30865.jpg
71,Caliterra Merlot Reserva 2021,https://cav.cl/storage/sku_images/30239.jpg
72,Caliterra Merlot Reserva 2020,https://cav.cl/storage/sku_images/27596.jpg
73,Caliterra Tributo Single Vineyard Sauvignon Blanc 2022,https://cav.cl/storage/sku_images/30250.jpg
74,Caliterra Sauvignon Blanc Reserva 2020,https://cav.cl/storage/sku_images/28118.jpg
75,Caliterra Sauvignon Blanc Reserva 2022,https://cav.cl/storage/sku_images/30867.jpg
76,Caliterra Tributo Single Vineyard Sauvignon Blanc 2020,https://cav.cl/storage/sku_images/28377.jpg
77,Caliterra Tributo Single Vineyard Syrah 2020,https://cav.cl/storage/sku_images/28841.jpg
78,Caliterra Tributo Single Vineyard Syrah 2021,https://cav.cl/storage/sku_images/31299.jpg
79,Calyptra Gran Cabernet Sauvignon 2019,https://cav.cl/storage/sku_images/31434.jpg
80,Calyptra Chardonnay Gran Reserva 2019,https://cav.cl/storage/sku_images/31041.jpg
81,Calyptra Vivendo Ensamblaje Tinto 2017,https://cav.cl/storage/sku_images/29626.jpg
82,Calyptra Pinot Noir Gran Reserva 2018,https://cav.cl/storage/sku_images/30159.jpg
83,Carabe De Itata Semillon / Moscatel 2019,https://cav.cl/storage/sku_images/29532.jpg
84,Carmen Cabernet Sauvignon Gran Reserva 2021,https://cav.cl/storage/sku_images/30675.jpg
85,Carmen Vintages Blend Iv Cabernet Sauvignon 2020,https://cav.cl/storage/sku_images/30760.jpg
86,Carmen Winemakers Reserve Red Cabernet Sauvignon Blend 2019,https://cav.cl/storage/sku_images/29012.jpg
87,Carmen Carignan Gran Reserva 2022,https://cav.cl/storage/sku_images/30977.jpg
88,Carmen Frida Kahlo Carmenere Gran Reserva 2022,https://cav.cl/storage/sku_images/31398.jpg
89,Carmen Cinco Lustros Carmenere 2021,https://cav.cl/storage/sku_images/30123.jpg
90,Carmen Winemakers Reserve Black Carmenere Blend 2021,https://cav.cl/storage/sku_images/31411.jpg
91,Carmen Winemakers Reserve Black Carmenere Blend 2020,https://cav.cl/storage/sku_images/30495.jpg
92,Carmen Frida Kahlo Gran Cuvee Brut 750cc,https://cav.cl/storage/sku_images/29325.jpg
93,Carmen Gran Cuvee Brut 750cc,https://cav.cl/storage/sku_images/10874.jpg
94,Carmen Do Loma Seca Cinsault 2019,https://cav.cl/storage/sku_images/26323.jpg
95,Carmen Grande Vidure Gran Reserva 2022,https://cav.cl/storage/sku_images/31399.jpg
96,Carmen Grande Vidure Gran Reserva 2020,https://cav.cl/storage/sku_images/28662.jpg
97,Carmen Do Matorral Chileno Mezcla Tinta 2021,https://cav.cl/storage/sku_images/29600.jpg
98,Carmen Grande Vidure Gran Reserva 2021,https://cav.cl/storage/sku_images/30111.jpg
99,Carmen Merlot Gran Reserva 2020,https://cav.cl/storage/sku_images/28607.jpg
100,Carmen Petite Syrah Gran Reserva 2022,https://cav.cl/storage/sku_images/30953.jpg
101,Carmen Sauvignon Blanc Gran Reserva 2022,https://cav.cl/storage/sku_images/31073.jpg
102,Carmen Sauvignon Blanc Gran Reserva 2021,https://cav.cl/storage/sku_images/30976.jpg
