url_product,product_internal_id,product_code,product_name,product_brand,product_category,variant,price,cav_points,description,member_price,normal_price,stock,image_url,vinyard,strain,harvest,origin,line,format,type,alcohol_degrees,blend,guard,pairing,Cuerpo,Frescor,Dulzura,Astringencia
https://www.cav.cl/tienda/producto/valle-secreto-private-syrah-carmenere-cabernet-sauvignon-2021-31344,14180,31344,Valle Secreto Private Syrah / Carmenere / Cabernet Sauvignon 2021,Valle Secreto,Ensamblaje Tinto,Sin Informacion,15990,No score available,"Rojo cereza oscuro con violeta. Aromas de frutos rojos y negros muy maduros, algunos matices de hojas, perfumado, suave toque floral. Boca jugosa, tersa, frutal, larga.",Socio: $14.391,Normal: $15.990,Stock: 11,https://cav.cl/storage/sku_images/31344.jpg,Valle Secreto,Sin Informacion,2021,Cachapoal,Premium,750 Cc,Ensamblaje Tinto,,,,"Carnes Rojas, Cerdo.",,,,
https://www.cav.cl/tienda/producto/ventisquero-enclave-2018-en-caja-de-madera-31389,14204,31389,Ventisquero Enclave 2018 En Caja De Madera,Ventisquero,Tinto,Cabernet Sauvignon,60000,No score available,"Rojo ciruela. Aromas frutales y especiados, ciruelas, moras, murtillas, notas balsámicas, licor de casis, pimienta negra, cuero. En boca tiene acidez media-alta, tanino intenso, largo y elegante.",Socio: $54.000,Normal: $60.000,Stock: 9,https://cav.cl/storage/sku_images/31389.jpg,Ventisquero,Cabernet Sauvignon,2018,Maipo,Icono,750 Cc,Tinto,,,,"Carnes Rojas, Carnes de Caza.",,,,
https://www.cav.cl/tienda/producto/ventisquero-grey-single-block-cabernet-sauvignon-2019-28169,12256,28169,Ventisquero Grey Single Block Cabernet Sauvignon 2019,Ventisquero,Tinto,Cabernet Sauvignon,13390,No score available,,Socio: $12.051,Normal: $13.390,Stock: 7,https://cav.cl/storage/sku_images/28169.jpg,Ventisquero,Cabernet Sauvignon,2019,Maipo,Premium,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-grey-single-block-cabernet-sauvignon-2021-31390,14205,31390,Ventisquero Grey Single Block Cabernet Sauvignon 2021,Ventisquero,Tinto,Cabernet Sauvignon,13390,No score available,,Socio: $12.051,Normal: $13.390,Stock: 29,https://cav.cl/storage/sku_images/31390.jpg,Ventisquero,Cabernet Sauvignon,2021,Maipo,Premium,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-grey-single-block-carmenere-2021-31241,14121,31241,Ventisquero Grey Single Block Carmenere 2021,Ventisquero,Tinto,Carmenere,13390,No score available,"Rojo cereza y violeta. Aromas de fruta roja y negra, maceración, especias dulces. Boca compacta, algo dulce, con un fondo láctico y tostado.",Socio: $12.051,Normal: $13.390,Stock: 33,https://cav.cl/storage/sku_images/31241.jpg,Ventisquero,Carmenere,2021,Maipo,Premium,750 Cc,Tinto,,,,"Carnes Rojas, Cerdo.",,,,
https://www.cav.cl/tienda/producto/ventisquero-grey-single-block-garnacha-carinena-mataro-2020-29042,12904,29042,Ventisquero Grey Single Block Garnacha / Cariñena / Mataro 2020,Ventisquero,Ensamblaje Tinto,Ensamblaje Tinto,13390,92,,Socio: $12.051,Normal: $13.390,Stock: 48,https://cav.cl/storage/sku_images/29042.jpg,Ventisquero,Ensamblaje Tinto,2020,Colchagua,Premium,750 Cc,Ensamblaje Tinto,,,,"Carnes Rojas, Carnes de Caza.",,,,
https://www.cav.cl/tienda/producto/ventisquero-grey-single-block-pinot-noir-2021-31454,14248,31454,Ventisquero Grey Single Block Pinot Noir 2021,Ventisquero,Tinto,Pinot Noir,9990,No score available,,Socio: $9.990,Normal: $13.390,Stock: 29,https://cav.cl/storage/sku_images/31454.jpg,Ventisquero,Pinot Noir,2021,Colchagua,Premium,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-grey-single-block-sauvignon-blanc-2022-31455,14249,31455,Ventisquero Grey Single Block Sauvignon Blanc 2022,Ventisquero,Blanco,Sauvignon Blanc,9990,No score available,,Socio: $9.990,Normal: $13.390,Stock: 30,https://cav.cl/storage/sku_images/31455.jpg,Ventisquero,Sauvignon Blanc,2022,Colchagua,Premium,750 Cc,Blanco,,,,,,,,
https://www.cav.cl/tienda/producto/ventisquero-heru-pinot-noir-2019-30137,13505,30137,Ventisquero Heru Pinot Noir 2019,Ventisquero,Tinto,Pinot Noir,24300,No score available,"Rojo cereza. Nariz frutal, frambuesa, hojas de tabaco, notas ahumadas, terrosas. En la boca es jugoso, de tanino medio, leve amargor. Sabroso.",Socio: $24.300,Normal: $27.000,Stock: 25,https://cav.cl/storage/sku_images/30137.jpg,Ventisquero,Pinot Noir,2019,Casablanca,Super Premium,750 Cc,Tinto,,,,"Aves, Quesos.",,,,
https://www.cav.cl/tienda/producto/ventisquero-kalfu-kuda-sauvignon-blanc-2022-31158,14101,31158,Ventisquero Kalfu Kuda Sauvignon Blanc 2022,Kalfu,Blanco,Sauvignon Blanc,10990,93,"Amarillo dorado con ribetes naranjos. En nariz tiene notas herbáceas, vegetales, apio, espárragos, ají verde, lima. En boca es de acidez media-alta, buen volumen y estructura, frutal y vegetal. Persistente.",Socio: $9.891,Normal: $10.990,Stock: 1,https://cav.cl/storage/sku_images/31158.jpg,Kalfu,Sauvignon Blanc,2019,Leyda,Gran Reserva,750 Cc,Blanco,,,,"Pescados, Mariscos.",,,,
