brand,gender,age,ses,rank
CALITERRA,MUJER,35-44,C2,66
CALITERRA,HOMBRE,25-34,C2,68
CALITERRA,MUJER,35-44,D/E,68
CALITERRA,HOMBRE,35-44,ABC1,68
CALITERRA,MUJER,25-34,C2,69
CALITERRA,MUJER,18-24,ABC1,70
CALITERRA,MUJER,55-75,C2,75
CALITERRA,MUJER,55-75,C3,78
CALITERRA,HOMBRE,25-34,ABC1,78
CALITERRA,HOMBRE,25-34,C3,79
CALITERRA,MUJER,18-24,C2,80
CALITERRA,HOMBRE,45-54,D/E,82
CALITERRA,MUJER,18-24,C3,87
CALITERRA,MUJER,35-44,C3,90
CALITERRA,MUJER,45-54,C3,122
CALITERRA,HOMBRE,25-34,D/E,129
CARMEN,OTRO,25-34,ABC1,3
CARMEN,HOMBRE,55-75,ABC1,4
CARMEN,MUJER,13-17,C3,5
CARMEN,MUJER,13-17,ABC1,5
CARMEN,MUJER,55-75,C3,6
CARMEN,HOMBRE,45-54,C3,6
CARMEN,OTRO,35-44,D/E,6
CARMEN,HOMBRE,13-17,ABC1,6
CARMEN,HOMBRE,18-24,C2,7
CARMEN,HOMBRE,35-44,C3,8
CARMEN,MUJER,25-34,ABC1,8
CARMEN,HOMBRE,45-54,C2,9
CARMEN,HOMBRE,45-54,ABC1,9
CARMEN,MUJER,45-54,ABC1,9
CARMEN,HOMBRE,55-75,C2,11
CARMEN,MUJER,13-17,C2,11
CARMEN,MUJER,35-44,C2,11
CARMEN,MUJER,55-75,ABC1,11
CARMEN,MUJER,18-24,ABC1,11
CARMEN,HOMBRE,18-24,ABC1,11
CARMEN,HOMBRE,35-44,ABC1,11
CARMEN,MUJER,35-44,ABC1,11
CARMEN,MUJER,55-75,C2,12
CARMEN,OTRO,18-24,C3,12
CARMEN,MUJER,35-44,C3,12
CARMEN,MUJER,35-44,D/E,12
CARMEN,OTRO,18-24,C2,13
CARMEN,MUJER,18-24,C2,13
CARMEN,HOMBRE,25-34,C2,13
CARMEN,MUJER,45-54,C2,13
CARMEN,MUJER,25-34,C3,13
CARMEN,MUJER,45-54,C3,13
CARMEN,MUJER,55-75,D/E,13
CARMEN,MUJER,18-24,D/E,13
CARMEN,OTRO,18-24,D/E,13
CARMEN,HOMBRE,25-34,D/E,13
CARMEN,MUJER,45-54,D/E,13
CARMEN,MUJER,13-17,D/E,14
CARMEN,HOMBRE,35-44,C2,15
CARMEN,MUJER,25-34,D/E,15
CARMEN,MUJER,25-34,C2,16
CARMEN,HOMBRE,18-24,C3,16
CARMEN,MUJER,18-24,C3,16
CARMEN,HOMBRE,35-44,D/E,18
CARMEN,HOMBRE,25-34,C3,21
CARMEN,HOMBRE,45-54,D/E,22
CARMEN,HOMBRE,55-75,D/E,23
CARMEN,OTRO,25-34,C2,24
CARMEN,HOMBRE,25-34,ABC1,25
CARMEN,HOMBRE,55-75,C3,33
CARMEN,HOMBRE,18-24,D/E,39
CARMEN,OTRO,25-34,ABC1,3
CARMEN,HOMBRE,55-75,ABC1,4
CARMEN,MUJER,13-17,C3,5
CARMEN,MUJER,13-17,ABC1,5
CARMEN,MUJER,55-75,C3,6
CARMEN,HOMBRE,45-54,C3,6
CARMEN,OTRO,35-44,D/E,6
CARMEN,HOMBRE,13-17,ABC1,6
CARMEN,HOMBRE,18-24,C2,7
CARMEN,HOMBRE,35-44,C3,8
CARMEN,MUJER,25-34,ABC1,8
CARMEN,HOMBRE,45-54,C2,9
CARMEN,HOMBRE,45-54,ABC1,9
CARMEN,MUJER,45-54,ABC1,9
CARMEN,HOMBRE,55-75,C2,11
CARMEN,MUJER,13-17,C2,11
CARMEN,MUJER,35-44,C2,11
CARMEN,MUJER,55-75,ABC1,11
CARMEN,MUJER,18-24,ABC1,11
CARMEN,HOMBRE,18-24,ABC1,11
CARMEN,HOMBRE,35-44,ABC1,11
